x,y,z,gt
-7.980377,1.5537567,5.378235,bike
-7.706375,-1.5221252,5.8834686,bike
-6.118927,3.339035,6.682678,bike
-7.4585366,-1.1677719,5.221754,bike
-4.85231,-0.41763306,6.27623,bike
-7.2469635,-2.1457825,6.419052,bike
-7.9232483,3.2819061,6.5636597,bike
-9.522598,-1.6173401,5.371689,bike
-7.8875427,1.3228607,5.104492,bike
-11.193619,-2.5075989,6.354782,bike
-8.046768,-3.2431335,5.462143,bike
-9.889435,0.8801117,-1.1606445,bike
-9.256256,3.3033295,2.543213,bike
-7.1112823,-1.7887268,7.642563,bike
-6.466461,3.3152313,6.444641,bike
-6.664032,1.9965057,7.1968384,bike
-7.0422516,-1.6720886,5.995346,bike
-7.5733337,2.1417084,3.961914,bike
-6.14831,-1.0827777,7.119757,bike
-8.451691,2.229782,5.711487,bike
-6.4328766,-2.45047,6.937973,bike
-5.4331207,-4.399994,6.9284515,bike
-7.5040436,-3.2574158,6.476181,bike
-5.3976746,4.4459076,7.349182,bike
-4.8999176,-3.3074036,5.6311493,bike
-7.051773,-2.276703,6.064377,bike
-7.4207306,-2.4623718,5.6454315,bike
-7.41597,-1.6197205,5.5049896,bike
-4.685684,-2.2528992,6.21434,bike
-8.515701,-2.6504211,4.8004,bike
-11.148392,-2.4909363,5.942978,bike
-6.9012866,-1.3413515,5.4444146,bike
-7.5611725,-3.6335144,7.2426605,bike
-10.324783,-0.99368286,5.995346,bike
-7.1303253,-2.0315247,6.6380463,bike
-7.121063,-0.8837433,5.770996,bike
-7.137726,2.3940277,5.8376465,bike
-8.682327,-2.5623474,6.4547577,bike
-8.001541,-2.51474,6.090561,bike
-8.1705475,-1.719696,5.462143,bike
-7.0922394,-1.5792542,6.3452606,bike
-7.5492706,-1.5007019,6.426193,bike
-8.1874695,2.3797455,5.104492,bike
-7.570694,-1.950592,6.361923,bike
-7.6397247,-3.002716,6.1643524,bike
-6.578079,-2.2148132,6.0120087,bike
-8.853973,-0.60523987,6.301819,bike
-9.108673,1.1657562,4.6903076,bike
-6.6947174,-2.7289734,5.5764008,bike
-8.111038,-2.867035,6.4595184,bike
-6.1948395,-3.5335388,6.01915,bike
-9.586868,-2.060089,6.1524506,bike
-9.244095,-0.68185425,5.4716644,bike
-8.261002,-2.77182,6.540451,bike
-7.9586945,-4.8903503,6.378586,bike
-12.122223,2.9105682,5.128296,bike
-9.367874,-2.3052673,6.1215057,bike
-10.477127,-0.58425903,5.9025116,bike
-6.620926,-3.86203,7.0569916,bike
-4.519058,-4.3023987,7.5235443,bike
-8.946548,-2.681366,6.169113,bike
-7.5962033,3.1615434,5.543774,bike
-8.082474,-1.6078186,6.5571136,bike
-7.116043,-3.059845,6.885605,bike
-5.1355743,-3.1360168,5.1884003,bike
-8.815628,-1.5245056,6.923691,bike
-6.423355,-3.252655,5.8430023,bike
-8.999206,-0.18495208,6.142923,bike
-6.9425354,1.7584686,4.6641235,bike
-7.0829773,4.633957,8.006165,bike
-10.332184,4.8934174,-0.06567383,bike
-6.237686,-2.9098816,6.480942,bike
-8.137222,-3.6668396,7.2117157,bike
-7.2160187,-2.6956482,4.8884735,bike
-7.285309,4.3506927,5.2163696,bike
-7.820633,-2.4623718,6.8070526,bike
-10.203384,-3.0169983,6.0572357,bike
-9.994171,3.100998,4.3356323,bike
-7.594757,0.69444275,5.252075,bike
-7.818512,3.6175385,6.8135986,bike
-9.862991,-0.5723572,4.9575043,bike
-6.697098,-1.4054871,5.5168915,bike
-9.122696,-3.1860046,7.7425385,bike
-6.51857,-4.361908,5.640671,bike
-7.044632,-0.38430786,5.900131,bike
-8.406464,1.0062714,5.9733276,bike
-8.875306,-1.347337,5.7664347,bike
-6.056778,-3.335968,5.669235,bike
-10.034378,-1.526886,7.578293,bike
-7.2541046,0.006072998,6.2167206,bike
-7.5992584,-1.8244324,4.8170624,bike
-6.782791,-2.3623962,7.225998,bike
-8.948929,-4.202423,5.681137,bike
-7.4921417,-2.3314514,4.9836884,bike
-9.032242,-1.924408,6.540451,bike
-8.903961,3.7460785,1.8029175,bike
-8.942047,2.1298065,5.9995117,bike
-5.8142395,3.8293915,6.392273,bike
-6.894928,2.4249725,7.6967163,bike
-8.782303,-2.6266174,6.3452606,bike
-6.9353943,1.8084564,6.263733,bike
-6.1805573,-2.4004822,5.752548,bike
-9.253616,-1.591156,5.8001556,bike
-5.466446,-4.2190857,10.180038,bike
-9.410721,-3.740631,6.2048187,bike
-1.3841095,-3.1717224,5.9977264,bike
-5.164398,0.78489685,7.1087646,bike
-7.6614075,2.9296112,7.073059,bike
-7.4064484,-2.847992,7.1093597,bike
-9.79158,-1.776825,6.0858,bike
-10.2274475,1.779892,5.0687866,bike
-5.81398,-3.547821,6.14769,bike
-8.7608795,-3.4978333,6.40477,bike
-6.6664124,1.9703217,6.070923,bike
-10.031998,-1.2079163,6.2167206,bike
-6.1305695,-3.547821,6.109604,bike
-8.670425,-1.4768982,5.4978485,bike
-7.4635773,-1.9743958,5.205063,bike
-7.2279205,-0.85562134,6.142929,bike
-8.0229645,-2.2052917,5.6906586,bike
-5.7282867,-1.905365,5.0051117,bike
-9.544022,-3.3788147,5.57164,bike
-9.446426,-2.5480652,5.9644012,bike
-7.8944244,-1.2055359,5.2978973,bike
-11.676834,-2.143402,6.2357635,bike
-7.5088043,-1.6958923,5.681137,bike
-8.896561,-2.3909607,6.828476,bike
-7.8547773,-1.0372878,4.8189297,bike
-5.868988,3.5104218,6.2161255,bike
-8.180069,-0.3390808,5.8691864,bike
-9.360992,3.0153046,6.109009,bike
-7.275528,-2.5266418,6.0619965,bike
-7.358841,-1.42453,5.9453583,bike
-9.129837,-0.75564575,6.3452606,bike
-7.127945,-1.9815369,6.3071747,bike
-6.58284,-1.4292908,5.8239594,bike
-5.564041,-4.085785,6.335739,bike
-8.537125,-4.8665466,5.8382416,bike
-7.6542664,4.379257,6.6088867,bike
-9.220291,-1.2150574,7.007004,bike
-6.4378967,3.0295868,6.2732544,bike
-11.398331,-2.5813904,4.0743866,bike
-6.5259705,4.448288,5.34729,bike
-6.8996887,2.1940765,7.2420654,bike
-8.080093,-3.1645813,6.7356415,bike
-9.08461,-1.2055359,6.0881805,bike
-9.289322,-1.3221741,6.847519,bike
-7.9705963,-3.2050476,6.123886,bike
-7.377884,-2.6123352,6.680893,bike
-8.020584,-1.4197693,6.507126,bike
-6.8592224,3.2961884,6.3303833,bike
-8.263641,1.0015106,5.3187256,bike
-15.590164,-2.6313782,5.245529,bike
-6.601883,-4.2238464,6.4404755,bike
-7.266266,2.0345917,5.9019165,bike
-6.318619,-2.3576355,7.514023,bike
-3.0887146,1.363327,5.8257446,bike
-10.267654,-1.5697327,6.9332123,bike
-6.1829376,-2.9170227,6.2928925,bike
-6.9065704,-7.256439,6.7213593,bike
-6.9779816,-1.4649963,5.438339,bike
-4.0694275,4.2792816,7.111145,bike
-6.551895,-2.7146912,6.378586,bike
-10.853226,-0.85562134,5.0241547,bike
-6.4114532,-2.25766,6.461899,bike
-8.7608795,-0.28671265,5.89299,bike
-8.334793,-2.4980774,4.8765717,bike
-11.405472,-2.6647034,6.1381683,bike
-8.141983,-3.1860046,6.821335,bike
-7.392166,-1.3626404,6.438095,bike
-4.5666656,-4.8736877,6.264328,bike
-7.3802643,-1.988678,5.9477386,bike
-8.818008,-3.3478699,6.0358124,bike
-7.0541534,-3.7691956,6.7618256,bike
-7.313614,-0.64138794,6.4904633,bike
-13.845612,2.1916962,-1.4629517,bike
-6.894928,-0.31007385,6.7993164,bike
-12.029129,-1.6697083,7.349777,bike
-4.100113,-2.155304,5.616867,bike
-6.4545593,3.1962128,6.56604,bike
-7.911087,-0.4723816,6.0239105,bike
-6.280533,2.2602844,1.2274628,bike
-6.8613434,-2.4980774,6.461899,bike
-6.961319,-2.9717712,5.9477386,bike
-6.9660797,-2.5575867,5.2407684,bike
-6.8303986,-2.3838196,7.6735077,bike
-9.363113,-3.2359924,5.8644257,bike
-4.3693542,1.9846039,6.911194,bike
-3.3193512,-1.6649475,5.2026825,bike
-7.7277985,-2.1695862,6.495224,bike
-5.711624,-4.092926,6.771347,bike
-7.346939,-1.9839172,6.559494,bike
-6.275772,-2.6789856,6.0381927,bike
-6.1638947,-0.68185425,6.0929413,bike
-6.823517,1.5966034,5.866211,bike
-8.018463,1.8274994,7.470581,bike
-5.640213,-5.0260315,5.6835175,bike
-7.5492706,-3.2193298,6.673752,bike
-7.5873566,-2.3814392,4.2648163,bike
-8.477615,-2.007721,5.5740204,bike
-7.35672,0.44926453,6.0756836,bike
-9.399078,1.4990082,5.6448364,bike
-5.5735626,-1.3554993,4.3433685,bike
-8.427628,-0.8270569,6.6666107,bike
-8.744217,-3.4430847,7.052231,bike
-7.7328186,1.715622,8.072815,bike
-9.186966,-1.6054382,4.9217987,bike
-10.472366,-5.3997498,4.6242523,bike
-8.627579,-3.5168762,5.8263397,bike
-7.9277496,-1.9743958,6.0381927,bike
-6.844681,-2.1529236,6.333359,bike
-9.270538,0.1874237,3.5144043,bike
-8.95369,-1.1412659,7.399765,bike
-4.6618805,-3.047943,5.6716156,bike
-7.389786,-2.3838196,6.7808685,bike
-3.1434631,3.800827,6.8374023,bike
-5.461685,-2.6099548,5.50737,bike
-7.166031,-3.278839,5.5502167,bike
-11.4461975,-0.31245422,8.665527,bike
-5.74971,-3.3407288,5.102707,bike
-6.7280426,-1.4935608,5.7168427,bike
-6.485504,3.422348,6.4851074,bike
-8.88942,-1.4316711,5.8239594,bike
-6.9137115,-1.8720398,7.425949,bike
-6.4543,-3.9167786,7.411667,bike
-5.9948883,-1.3626404,5.95726,bike
-6.580719,3.300949,6.7350464,bike
-7.6233215,0.8325043,5.866211,bike
-4.27388,-3.0050964,5.5097504,bike
-4.9096985,2.0441132,5.5234375,bike
-7.7397003,-1.7268372,6.4999847,bike
-8.330032,-2.7361145,6.6190033,bike
-8.6966095,-3.7049255,6.347641,bike
-8.998917,-1.9934387,7.7377777,bike
-9.5368805,-1.129364,3.6125946,bike
-5.2712555,-3.0050964,4.7147064,bike
-6.370987,-1.8839417,6.071518,bike
-6.1043854,-2.2219543,6.5309296,bike
-8.25148,-1.5411682,5.821579,bike
-6.825638,-3.0193787,4.826584,bike
-7.287689,2.1083832,6.3637085,bike
-4.5285797,-3.1598206,6.219101,bike
-9.777298,-3.4430847,5.2288666,bike
-7.4707184,-2.5885315,5.007492,bike
-6.8613434,-0.5128479,6.264328,bike
-8.256241,-3.1669617,6.066757,bike
-5.0546417,-2.3766785,6.0120087,bike
-6.351944,-2.8503723,5.1241302,bike
-5.3643494,2.9177094,6.7112427,bike
-9.082489,1.9203339,4.5474854,bike
-6.2472076,-1.7458801,6.0953217,bike
-6.628067,-3.585907,6.5999603,bike
-6.782791,-3.245514,5.033676,bike
-7.299591,1.8917694,6.194702,bike
-8.258621,-3.419281,6.0953217,bike
-5.863968,-4.1024475,4.943222,bike
-4.1527405,1.3776093,6.6921997,bike
-5.292679,-3.4811707,5.745407,bike
-5.7389016,-0.7966706,6.897695,bike
-6.1686554,-2.9265442,6.385727,bike
-11.153152,-2.0481873,5.7787323,bike
-8.525223,-3.6930237,6.676132,bike
-9.708267,-1.9958191,7.052231,bike
-7.415441,-0.40043023,6.247071,bike
-7.056534,-4.9617615,7.8972626,bike
-9.272659,-2.8955994,6.9355927,bike
-7.373123,-4.6142273,5.866806,bike
-7.4124484,-1.0067618,5.605425,bike
-5.859207,1.1938782,6.623764,bike
-8.013702,3.2438202,3.9190674,bike
-4.845169,-2.7670593,7.2307587,bike
-4.576187,-3.033661,4.871811,bike
-9.468109,2.313095,4.0666504,bike
-6.851822,-3.3431091,5.8501434,bike
-5.954422,-2.3862,3.3031464,bike
-5.309601,1.6799164,0.786499,bike
-7.3826447,-4.1809998,5.3121796,bike
-6.282913,-1.7173157,4.9408417,bike
-12.414749,-1.1079407,7.4473724,bike
-9.318146,0.7991791,0.44848633,bike
-9.5345,-3.2431335,5.6263885,bike
-9.284561,-1.988678,5.1241302,bike
-4.004898,-1.3554993,5.5668793,bike
-11.636368,-2.014862,5.938217,bike
-8.672806,-1.7030334,6.585678,bike
-6.9137115,-2.2433777,6.509506,bike
-7.197235,2.241684,5.563904,bike
-9.413101,-1.3721619,6.316696,bike
-9.970108,-0.64852905,5.50737,bike
-4.2786407,-3.4883118,5.7287445,bike
-6.1524997,-0.85473,6.8839283,bike
-10.470245,2.1369476,5.290161,bike
-7.120804,-3.5835266,6.680893,bike
-5.378372,-1.5102234,6.373825,bike
-12.16983,2.6749115,-0.46081543,bike
-5.602127,-1.9743958,6.131027,bike
-10.134354,-2.521881,5.9286957,bike
-5.5309753,-0.5124054,5.5186768,bike
-8.094376,-3.169342,6.4404755,bike
-5.7021027,-3.233612,6.783249,bike
-7.0569096,-1.9656396,5.947197,bike
-10.013214,3.2152557,6.111389,bike
-6.1213074,2.79393,7.0064087,bike
-6.5471344,-1.3554993,5.859665,bike
-6.359085,-2.3005066,5.0884247,bike
-3.88826,-2.9527283,6.964157,bike
-8.410965,-1.7077942,6.9665375,bike
-6.549515,-0.25338745,6.79039,bike
-6.8803864,1.0653381,4.5671234,bike
-6.1022644,2.8296356,6.354187,bike
-7.8661194,0.79441833,6.320862,bike
-4.1479797,1.8417816,7.1016235,bike
-8.706131,-2.636139,6.5356903,bike
-6.889908,-4.4856873,4.679001,bike
-5.6354523,-2.521881,5.1455536,bike
-7.9967804,-0.5033264,7.406906,bike
-8.1705475,-1.822052,6.1595917,bike
-8.732315,-2.3171692,5.012253,bike
-7.0210876,-0.0030059814,6.256592,bike
-8.094376,-2.033905,5.647812,bike
-7.0993805,-2.4933167,5.7668304,bike
-3.9953766,-2.9884338,6.809433,bike
-6.730423,-1.3459778,6.0548553,bike
-8.806107,-2.162445,4.276718,bike
-8.494278,-2.874176,5.045578,bike
-7.3091125,6.647751,4.9830933,bike
-8.744476,1.548996,5.256836,bike
-9.529999,1.7775116,5.866211,bike
-8.551407,-2.1124573,7.0236664,bike
-7.2517242,-1.5602112,5.6787567,bike
-8.556168,-3.8310852,5.6954193,bike
-9.801102,-4.3214417,6.649948,bike
-3.555008,-2.783722,5.8620453,bike
-7.5921173,-3.0289001,7.135544,bike
-11.405472,-1.8625183,6.885605,bike
-7.6563873,-3.2217102,6.097702,bike
-7.687332,-1.1055603,5.919174,bike
-11.369766,-2.3385925,4.7908783,bike
-3.0979767,-3.0431824,4.4314423,bike
-7.116043,-1.6006775,6.3833466,bike
-6.3876495,-2.995575,5.8453827,bike
-6.2924347,-2.5361633,6.4071503,bike
-8.584732,-0.6342468,5.904892,bike
-6.768509,-2.7980042,6.102463,bike
-6.639969,-1.0508118,5.7430267,bike
-5.2834167,4.300705,7.587219,bike
-8.384781,-1.7054138,6.7213593,bike
-7.263626,-2.9527283,5.5883026,bike
-7.2305603,3.5794525,7.599121,bike
-11.607803,-1.6197205,6.0810394,bike
-5.830902,3.672287,5.630554,bike
-7.206497,-2.7980042,6.426193,bike
-6.6304474,-1.5364075,6.3571625,bike
-8.137222,-0.49142456,1.9915619,bike
-7.437393,-2.9646301,6.2809906,bike
-5.3236237,-3.5311584,6.419052,bike
-7.8634796,-2.7980042,6.673752,bike
-7.377884,-2.405243,6.8141937,bike
-7.682831,0.30882263,6.6731567,bike
-4.6930847,4.2983246,7.1325684,bike
-7.5471497,-2.0001373,7.115906,bike
-6.944916,1.3918915,6.5565186,bike
-6.6042633,-2.1862488,5.212204,bike
-6.1638947,-2.3981018,5.726364,bike
-10.68898,-0.31765747,6.8332367,bike
-7.7349396,-2.0838928,4.474289,bike
-7.896805,-0.4057312,4.86467,bike
-5.314102,-3.3692932,5.000351,bike
-7.15889,-1.3912048,6.8260956,bike
-10.065582,2.3845062,5.994751,bike
-5.9999084,1.4180756,0.70318604,bike
-9.865372,-2.1386414,6.9855804,bike
-8.072952,-2.6123352,5.538315,bike
-6.0853424,-4.8903503,6.578537,bike
-7.0232086,-1.9458313,5.18602,bike
-10.977264,1.1252899,-1.4581909,bike
-6.8232574,-0.69137573,7.740158,bike
-9.041763,-3.1979065,6.9474945,bike
-10.600906,-1.2698059,4.6504364,bike
-8.365738,-0.8080139,7.449753,bike
-6.4569397,2.8105927,6.1589966,bike
-6.1022644,1.3157196,5.4853516,bike
-8.568069,-2.3052673,5.102707,bike
-8.268402,2.389267,6.5160522,bike
-5.614029,-1.8529968,5.995346,bike
-8.711151,3.5032806,1.4625244,bike
-9.08223,-0.94607544,4.5480804,bike
-5.6164093,-1.4316711,6.695175,bike
-7.2067566,2.3749847,6.258972,bike
-4.27388,-2.6004333,5.871567,bike
-8.248624,-1.3365631,5.691616,bike
-9.606171,1.6513519,6.1066284,bike
-8.230316,3.8484344,5.3496704,bike
-4.8835144,1.5608978,5.8638306,bike
-5.9948883,-1.8648987,6.930832,bike
-4.838028,-2.8337097,5.007492,bike
-9.670441,2.139328,5.942383,bike
-7.4850006,-1.6054382,6.2405243,bike
-7.9756165,0.4349823,5.397278,bike
-5.773514,-1.2721863,4.3624115,bike
-5.9068146,-3.4668884,5.70018,bike
-7.1779327,-3.124115,6.926071,bike
-10.872269,-2.2624207,5.3645477,bike
-6.9208527,-1.1246033,5.640671,bike
-10.325043,1.0657806,6.0828247,bike
-7.470978,1.5608978,4.9021606,bike
-4.076309,-1.0722351,6.0810394,bike
-5.435501,-1.8648987,6.821335,bike
-7.3281555,1.632309,5.937622,bike
-7.9396515,-4.042938,5.707321,bike
-5.7282867,-2.162445,5.738266,bike
-6.3805084,-3.124115,6.0548553,bike
-4.7311707,0.2207489,10.34845,bike
-6.7328033,-1.4649963,6.3428802,bike
-10.586624,-1.8529968,5.455002,bike
-8.296967,1.3276215,6.3827515,bike
-6.216522,3.4128265,6.218506,bike
-8.322245,-0.93972415,6.663662,bike
-6.254608,3.070053,5.233032,bike
-8.687347,1.5632782,6.2613525,bike
-8.296967,2.1536102,6.0947266,bike
-7.063675,-2.9098816,5.8001556,bike
-8.220535,-1.7911072,5.854904,bike
-7.565933,-1.23172,6.6261444,bike
-8.421604,0.6733692,3.7792473,bike
-5.083206,-2.7861023,5.333603,bike
-5.6333313,2.248825,4.9093018,bike
-7.7611237,-4.047699,6.02153,bike
-9.286942,-1.8315735,6.7689667,bike
-8.873016,-1.9382477,5.47583,bike
-8.175308,-2.3528748,7.982956,bike
-8.256241,-1.6030579,6.104843,bike
-7.3040924,-0.21054077,7.007004,bike
-6.0282135,-2.8622742,6.718979,bike
-7.313614,-1.7077942,6.7475433,bike
-4.164383,-2.0886536,5.3621674,bike
-9.772537,-2.1719666,5.8382416,bike
-8.322891,-2.1838684,5.873947,bike
-7.394806,2.4630585,5.0164185,bike
-6.2638702,-2.2790833,5.816818,bike
-7.2921906,-2.8765564,6.8570404,bike
-7.922989,-3.4478455,6.907028,bike
-5.917868,-0.66139823,6.7025676,bike
-6.2260437,2.8867645,7.092102,bike
-8.18959,-3.1955261,6.4142914,bike
-6.4257355,-3.2169495,5.4407196,bike
-7.199356,-2.8955994,6.1952972,bike
-7.41597,-2.5242615,6.264328,bike
-7.8063507,-2.1957703,6.380966,bike
-6.8366427,-0.7290344,6.431424,bike
-9.056305,3.8293915,9.072571,bike
-6.0924835,-1.572113,5.938217,bike
-9.137238,3.024826,6.751709,bike
-8.384781,-1.8125305,5.4454803,bike
-9.163422,4.2411957,7.925232,bike
-7.1065216,-3.271698,6.623764,bike
-7.763504,-1.8577576,4.8551483,bike
-7.3493195,-1.841095,6.7618256,bike
-8.95369,-1.3245544,6.27623,bike
-8.418106,-1.4388123,5.1955414,bike
-6.7089996,-1.0888977,5.4597626,bike
-4.6047516,-2.7765808,6.759445,bike
-6.030594,-2.1767273,7.502121,bike
-8.729935,-0.4057312,4.905136,bike
-8.177689,-1.7839661,6.08342,bike
-4.4336243,2.6439667,6.8255005,bike
-11.569977,-1.5145416,-1.5057983,bike
-7.275528,-1.9410706,7.097458,bike
-7.204117,-3.4811707,5.9334564,bike
-5.490509,4.595871,2.281372,bike
-8.653763,-1.9291687,4.9575043,bike
-7.877762,-1.29599,4.3766937,bike
-2.452896,-2.9979553,6.245285,bike
-10.927017,-1.5578308,5.2740936,bike
-6.773529,2.0226898,9.058289,bike
-9.667801,-2.438568,6.397629,bike
-6.8473206,1.0324554,6.2232666,bike
-9.513336,2.1750336,5.040222,bike
-7.6045833,0.50996494,5.591658,bike
-8.518082,-2.1243591,5.25029,bike
-9.515457,-1.4745178,6.295273,bike
-10.2295685,-3.5359192,6.3071747,bike
-5.690201,-2.9598694,6.1215057,bike
-6.7899323,-1.8768005,5.4454803,bike
-7.6944733,-2.9860535,6.3119354,bike
-6.4757233,-0.58187866,6.109604,bike
-7.54451,-1.8791809,6.816574,bike
-11.493546,-2.9527283,5.1455536,bike
-7.4447937,-0.83851624,6.623169,bike
-4.414908,-2.0913353,5.7885814,bike
-6.5854797,3.3795013,7.772888,bike
-10.496429,0.7063446,4.64032,bike
-6.752846,-1.4730326,6.4128695,bike
-5.121292,-2.9741516,6.745163,bike
-5.909195,-2.5266418,6.3571625,bike
-5.3405457,3.8151093,7.541992,bike
